iter	R2	RMSE
0	0.1588213203	0.04680881695
1	0.2893017541	0.04302552302
2	0.3952229528	0.03969000802
3	0.4814504218	0.03675180548
4	0.5516051667	0.03417541811
5	0.608516546	0.03193303833
6	0.6551484707	0.02997088828
7	0.6933450142	0.0282623683
8	0.7243943962	0.02679338339
9	0.7499231612	0.02552232719
10	0.7706866465	0.02443983161
11	0.7875287752	0.02352521479
12	0.8012043082	0.02275553344
13	0.8125515108	0.02209655191
14	0.8218080839	0.02154405928
15	0.8294514279	0.02107694103
16	0.8356245241	0.02069197992
17	0.8406885821	0.02037074855
18	0.8448946703	0.02010003887
19	0.8483592972	0.01987428123
20	0.8512302126	0.01968524878
21	0.8536235598	0.01952626267
22	0.8555973726	0.01939416492
23	0.857168629	0.01928836159
24	0.8585242769	0.01919660806
25	0.8596487631	0.01912016601
26	0.8606810799	0.01904971955
27	0.8615486425	0.018990314
28	0.8622127321	0.01894471521
29	0.8627618156	0.0189069301
30	0.8632892782	0.01887056158
31	0.8636845719	0.01884326008
32	0.8640246115	0.0188197431
33	0.8643116557	0.01879986835
34	0.8646190032	0.01877856451
35	0.864868252	0.01876127001
36	0.8650685424	0.01874736101
37	0.8652769945	0.01873287426
38	0.8654268544	0.01872245255
39	0.8655501632	0.01871387294
40	0.8656850835	0.0187044809
41	0.8658112103	0.01869569673
42	0.865910801	0.01868875776
43	0.8659890187	0.01868330615
44	0.8660686792	0.01867775234
45	0.866149717	0.01867210081
46	0.8662231385	0.01866697896
47	0.8662814625	0.01866290931
48	0.8663510598	0.01865805187
49	0.8664111165	0.0186538593
50	0.8664577215	0.01865060514
51	0.8664955196	0.0186479655
52	0.8665482057	0.01864428553
53	0.8665913544	0.01864127117
54	0.8666153572	0.01863959413
55	0.8666533092	0.01863694218
56	0.8666967246	0.018633908
57	0.8667562463	0.01862974739
58	0.866793237	0.01862716124
59	0.8668325834	0.01862441001
60	0.8668664772	0.01862203972
61	0.8668918742	0.01862026343
62	0.8669247786	0.01861796182
63	0.8669589466	0.01861557152
64	0.8669917548	0.01861327606
65	0.8670587004	0.01860859126
66	0.8670901733	0.0186063884
67	0.8671337101	0.01860334074
68	0.8671812532	0.01860001206
69	0.8672375226	0.01859607164
70	0.8672622458	0.01859434006
71	0.8672861015	0.0185926691
72	0.8673148392	0.01859065597
73	0.8673427747	0.01858869883
74	0.8673631751	0.01858726947
75	0.8673717101	0.01858667142
76	0.8673919992	0.0185852497
77	0.8674083942	0.01858410077
78	0.8674228934	0.01858308463
79	0.867445335	0.01858151177
80	0.8674553944	0.01858080669
81	0.8674692961	0.01857983226
82	0.8674897665	0.01857839731
83	0.8675107939	0.01857692319
84	0.867542226	0.01857471944
85	0.867579775	0.01857208649
86	0.8676138917	0.01856969388
87	0.8676252477	0.01856889741
88	0.8676512082	0.01856707651
89	0.8676879911	0.01856449622
90	0.8677087383	0.01856304066
91	0.8677311658	0.01856146708
92	0.867739458	0.01856088524
93	0.8677537624	0.01855988151
94	0.8677835646	0.01855779012
95	0.8678189651	0.01855530556
96	0.8678276524	0.0185546958
97	0.867849378	0.01855317079
98	0.8678650827	0.01855206833
99	0.8678811729	0.01855093874
100	0.8679053208	0.01854924335
101	0.86792276	0.01854801887
102	0.8679292921	0.01854756021
103	0.8679487211	0.01854619589
104	0.8679725583	0.01854452187
105	0.8679807249	0.01854394833
106	0.8679858405	0.01854358904
107	0.8680050659	0.01854223873
108	0.8680260235	0.01854076664
109	0.8680354951	0.01854010131
110	0.8680414842	0.01853968059
111	0.8680677191	0.01853783755
112	0.8680793591	0.01853701976
113	0.8680953871	0.01853589363
114	0.868113148	0.01853464566
115	0.8681245945	0.01853384133
116	0.8681326349	0.01853327632
117	0.8681396417	0.01853278393
118	0.8681468636	0.01853227641
119	0.8681585392	0.01853145587
120	0.8681723309	0.01853048657
121	0.8681775489	0.01853011984
122	0.8681880882	0.01852937907
123	0.8682131451	0.01852761781
124	0.8682292689	0.01852648437
125	0.8682389576	0.01852580326
126	0.8682492031	0.01852508298
127	0.8682645055	0.01852400714
128	0.8682693248	0.0185236683
129	0.8682873157	0.01852240334
130	0.8682911227	0.01852213565
131	0.8683019121	0.01852137698
132	0.8683065144	0.01852105335
133	0.8683140772	0.01852052154
134	0.8683213641	0.01852000912
135	0.8683387937	0.01851878337
136	0.868356086	0.01851756721
137	0.8683627495	0.01851709855
138	0.8683830399	0.0185156714
139	0.8683953411	0.01851480612
140	0.8684007611	0.01851442486
141	0.8684112363	0.01851368797
142	0.8684169191	0.0185132882
143	0.8684276918	0.01851253035
144	0.8684364707	0.01851191273
145	0.8684574296	0.01851043814
146	0.8684620898	0.01851011025
147	0.8684695443	0.01850958574
148	0.8684851111	0.01850849039
149	0.8684939728	0.01850786681
150	0.8685086593	0.01850683331
151	0.8685162322	0.01850630038
152	0.86852685	0.01850555314
153	0.8685370791	0.01850483322
154	0.8685479233	0.01850406999
155	0.8685580531	0.018503357
156	0.8685648004	0.01850288208
157	0.868574586	0.01850219328
158	0.868583208	0.01850158637
159	0.8685939209	0.01850083224
160	0.8685995955	0.01850043277
161	0.8686095267	0.01849973362
162	0.8686226664	0.01849880857
163	0.8686286298	0.01849838872
164	0.8686394727	0.01849762531
165	0.8686511609	0.01849680235
166	0.8686626855	0.01849599087
167	0.8686702584	0.01849545763
168	0.8686775909	0.0184949413
169	0.868681777	0.01849464652
170	0.8686923074	0.01849390496
171	0.8687042391	0.01849306469
172	0.8687142693	0.01849235829
173	0.8687269921	0.01849146223
174	0.8687350694	0.01849089333
175	0.8687418059	0.01849041885
176	0.8687531877	0.01848961715
177	0.8687644681	0.01848882256
178	0.868769921	0.01848843845
179	0.8687748902	0.0184880884
180	0.8687875588	0.01848719595
181	0.868799783	0.01848633476
182	0.8688091579	0.01848567428
183	0.8688185548	0.01848501223
184	0.8688261648	0.01848447605
185	0.8688318506	0.01848407543
186	0.8688371243	0.01848370385
187	0.8688399266	0.01848350639
188	0.8688409277	0.01848343586
189	0.8688455137	0.01848311272
190	0.8688551461	0.01848243397
191	0.8688656279	0.01848169535
192	0.8688724631	0.01848121368
193	0.8688782957	0.01848080265
194	0.8688884584	0.01848008645
195	0.8688983315	0.01847939063
196	0.8689033272	0.01847903855
197	0.8689105833	0.01847852714
198	0.8689169641	0.01847807741
199	0.8689217079	0.01847774305
200	0.8689279859	0.01847730055
201	0.8689291408	0.01847721915
202	0.8689372831	0.01847664522
203	0.8689487774	0.018475835
204	0.8689526205	0.01847556409
205	0.8689590193	0.01847511302
206	0.8689628846	0.01847484054
207	0.8689701019	0.01847433175
208	0.8689760732	0.01847391079
209	0.8689833685	0.01847339648
210	0.8689892753	0.01847298004
211	0.8689950507	0.01847257287
212	0.8690021617	0.01847207151
213	0.8690078865	0.01847166788
214	0.8690239556	0.01847053486
215	0.8690308865	0.01847004615
216	0.8690340739	0.01846982139
217	0.8690429776	0.01846919355
218	0.8690467774	0.0184689256
219	0.8690543589	0.01846839096
220	0.8690583305	0.01846811089
221	0.8690638999	0.01846771813
222	0.8690700236	0.01846728627
223	0.8690763324	0.01846684134
224	0.8690813485	0.01846648758
225	0.8690874448	0.01846605762
226	0.8690936322	0.01846562123
227	0.8690997342	0.01846519085
228	0.8691078481	0.01846461856
229	0.8691131105	0.01846424738
230	0.8691199996	0.01846376145
231	0.8691227045	0.01846357065
232	0.8691278959	0.01846320446
233	0.869130519	0.01846301943
234	0.8691378874	0.01846249965
235	0.8691446239	0.01846202444
236	0.869150477	0.01846161154
237	0.8691550693	0.01846128757
238	0.8691585883	0.01846103932
239	0.8691634395	0.01846069707
240	0.8691689945	0.01846030517
241	0.8691789144	0.01845960531
242	0.8691827004	0.01845933819
243	0.8691891653	0.01845888206
244	0.869195622	0.0184584265
245	0.8692056959	0.0184577157
246	0.8692098377	0.01845742345
247	0.8692180262	0.01845684565
248	0.8692274926	0.01845617766
249	0.8692339583	0.0184557214
250	0.8692381384	0.01845542641
251	0.8692433636	0.01845505767
252	0.8692540181	0.01845430577
253	0.8692605512	0.0184538447
254	0.8692655879	0.01845348923
255	0.8692693339	0.01845322485
256	0.8692747906	0.01845283973
257	0.8692783325	0.01845258975
258	0.8692842664	0.01845217093
259	0.8692896739	0.01845178925
260	0.8692953572	0.01845138811
261	0.8693032623	0.01845083012
262	0.8693086855	0.01845044731
263	0.8693142466	0.01845005476
264	0.8693180498	0.01844978629
265	0.8693255774	0.01844925491
266	0.8693296196	0.01844896956
267	0.8693339476	0.01844866403
268	0.8693390199	0.01844830595
269	0.8693502205	0.01844751521
270	0.8693548389	0.01844718916
271	0.8693615495	0.01844671538
272	0.8693670279	0.01844632859
273	0.8693696925	0.01844614045
274	0.8693757104	0.01844571556
275	0.8693816753	0.0184452944
276	0.8693892588	0.01844475893
277	0.8693979888	0.01844414251
278	0.8694036444	0.01844374315
279	0.8694098934	0.01844330188
280	0.8694164125	0.01844284152
281	0.869423446	0.01844234483
282	0.8694293678	0.01844192664
283	0.8694317823	0.01844175612
284	0.8694356693	0.01844148161
285	0.8694404076	0.01844114699
286	0.8694456516	0.01844077663
287	0.8694533879	0.01844023025
288	0.8694601632	0.01843975172
289	0.8694656574	0.01843936367
290	0.869469575	0.01843908697
291	0.8694730817	0.01843883928
292	0.8694785675	0.0184384518
293	0.8694857529	0.01843794427
294	0.8694910926	0.01843756709
295	0.869495849	0.0184372311
296	0.8695000935	0.01843693128
297	0.86950575	0.0184365317
298	0.8695104598	0.01843619899
